"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"TMEM250","OK","negbinomial.size",0.0019045849488221,0.00503992492882425,"TMEM250",1622
"PHC3","OK","negbinomial.size",0.00190961217793647,0.00505253730567471,"PHC3",5158
"DDX55","OK","negbinomial.size",0.00191510160337994,0.00506636896769517,"DDX55",1583
"CSTF3","OK","negbinomial.size",0.00191700491355992,0.00507071113853229,"CSTF3",1263
"RSPH3","OK","negbinomial.size",0.0019238010486017,0.00508799247134624,"RSPH3",1479
"AP1S1","OK","negbinomial.size",0.00192552473169975,0.00509185549610821,"AP1S1",2452
"ZBED6","OK","negbinomial.size",0.00193336300044182,0.00511081509047502,"ZBED6",390
"CCDC51","OK","negbinomial.size",0.00193309856750003,0.00511081509047502,"CCDC51",252
"LIN7C","OK","negbinomial.size",0.00193348653755998,0.00511081509047502,"LIN7C",3356
"AL158071.5","OK","negbinomial.size",0.00193513766606573,0.00511448113080753,"AL158071.5",159
"CSNK1G1","OK","negbinomial.size",0.00193647481962787,0.00511731646191626,"CSNK1G1",2928
"FBXO11","OK","negbinomial.size",0.00193721682141315,0.00511857848922936,"FBXO11",6150
"NOC4L","OK","negbinomial.size",0.00193893012345355,0.00512170720519792,"NOC4L",1686
"MAX","OK","negbinomial.size",0.00193878538249966,0.00512170720519792,"MAX",7789
"AC023282.1","OK","negbinomial.size",0.00194054756348863,0.00512528028195515,"AC023282.1",21
"GUCY2D","OK","negbinomial.size",0.00194550567998667,0.00513767441302893,"GUCY2D",97
"SMARCA5","OK","negbinomial.size",0.00194665807475605,0.00514001641700354,"SMARCA5",8470
"OXCT1","OK","negbinomial.size",0.00195591718871992,0.0051634810174098,"OXCT1",503
"LINC01547","OK","negbinomial.size",0.00195607823013205,0.0051634810174098,"LINC01547",56
"SELENBP1","OK","negbinomial.size",0.00196008140995798,0.00517334276691527,"SELENBP1",144
"MIRLET7BHG","OK","negbinomial.size",0.00196059981531594,0.00517400553852361,"MIRLET7BHG",737
"RNF146","OK","negbinomial.size",0.00196430560812283,0.00518307847007002,"RNF146",2577
"AL121899.4","OK","negbinomial.size",0.0019648932502201,0.00518392239941537,"AL121899.4",294
"ZNF207","OK","negbinomial.size",0.00196707602747281,0.00518897392529178,"ZNF207",14270
"GCLC","OK","negbinomial.size",0.00197060153536093,0.00519756559749032,"GCLC",2421
"EXD3","OK","negbinomial.size",0.00197260467418348,0.00520143150499517,"EXD3",720
"HRAS","OK","negbinomial.size",0.00197241727165353,0.00520143150499517,"HRAS",1864
"AGAP3","OK","negbinomial.size",0.00197572703220613,0.00520895507524028,"AGAP3",1772
"AC097382.3","OK","negbinomial.size",0.00197760835163698,0.00521320507457947,"AC097382.3",411
"MC1R","OK","negbinomial.size",0.0019782245839625,0.00521411945421597,"MC1R",111
"AC025300.1","OK","negbinomial.size",0.00197964946185677,0.00521716468797298,"AC025300.1",63
"PTK2B","OK","negbinomial.size",0.00198222711804294,0.00522324670895143,"PTK2B",9585
"SLC44A4","OK","negbinomial.size",0.00198352719771165,0.00522596106793308,"SLC44A4",73
"MBNL3","OK","negbinomial.size",0.00198409729880969,0.00522675168931126,"MBNL3",2165
"CLTCL1","OK","negbinomial.size",0.00198537323727892,0.00522940124561274,"CLTCL1",523
"HSPBP1","OK","negbinomial.size",0.00199083883194893,0.00524308398231776,"HSPBP1",980
"AC087071.1","OK","negbinomial.size",0.00199120992722051,0.00524334792017513,"AC087071.1",52
"ZNF654","OK","negbinomial.size",0.00199193413224609,0.00524437250228289,"ZNF654",1817
"KLF10","OK","negbinomial.size",0.00199214087974821,0.00524437250228289,"KLF10",14052
"POFUT2","OK","negbinomial.size",0.0019927038979313,0.00524514133155509,"POFUT2",1658
"NADSYN1","OK","negbinomial.size",0.00199473152520184,0.00524976453206418,"NADSYN1",4084
"AL031728.1","OK","negbinomial.size",0.00199905275701529,0.00525899214698898,"AL031728.1",65
"PPP6C","OK","negbinomial.size",0.00199861897422411,0.00525899214698898,"PPP6C",5962
"CNEP1R1","OK","negbinomial.size",0.0019988800353186,0.00525899214698898,"CNEP1R1",2081
"AP001160.3","OK","negbinomial.size",0.00200126609807535,0.00526409945107277,"AP001160.3",246
"TXNL4A","OK","negbinomial.size",0.00200254797584443,0.00526675559353542,"TXNL4A",8822
"TMEM220-AS1","OK","negbinomial.size",0.00201163838817198,0.00528994488246774,"TMEM220-AS1",34
"CPSF7","OK","negbinomial.size",0.00201800344400354,0.00530596205726385,"CPSF7",5774
"PIGF","OK","negbinomial.size",0.00201920389303998,0.00530767650157182,"PIGF",2260
"SCRIB","OK","negbinomial.size",0.00201893362996876,0.00530767650157182,"SCRIB",1065
"CDC20","OK","negbinomial.size",0.00202036888363909,0.00530929683418434,"CDC20",88
"HGH1","OK","negbinomial.size",0.0020203392025341,0.00530929683418434,"HGH1",400
"ESPL1","OK","negbinomial.size",0.00202126331545688,0.00531092629256127,"ESPL1",56
"CRACR2A","OK","negbinomial.size",0.00202629841816772,0.00532343356141049,"CRACR2A",1399
"TOMM20","OK","negbinomial.size",0.00202816446660675,0.00532689003800636,"TOMM20",13947
"AC080038.1","OK","negbinomial.size",0.0020280917232224,0.00532689003800636,"AC080038.1",16
"EXOC4","OK","negbinomial.size",0.00202852535283992,0.00532711508003288,"EXOC4",3292
"POLR2K","OK","negbinomial.size",0.00202962371060795,0.0053292764739878,"POLR2K",5917
"RFESD","OK","negbinomial.size",0.00203061060689693,0.00533042168669704,"RFESD",121
"ZNF629","OK","negbinomial.size",0.00203056989814086,0.00533042168669704,"ZNF629",392
"TPM2","OK","negbinomial.size",0.00203317729530969,0.00533643564817758,"TPM2",234
"RDX","OK","negbinomial.size",0.00203422077317504,0.00533845058383261,"RDX",5258
"CHN2","OK","negbinomial.size",0.00203651633384304,0.00534375039639416,"CHN2",2552
"ZNF852","OK","negbinomial.size",0.00203707888334008,0.00534450202559149,"ZNF852",203
"AL355490.2","OK","negbinomial.size",0.00203913463801034,0.0053491705092785,"AL355490.2",42
"AC127502.2","OK","negbinomial.size",0.00204105809608425,0.0053534907270871,"AC127502.2",2516
"AC087741.1","OK","negbinomial.size",0.00204312268002594,0.0053581798831137,"AC087741.1",1711
"SLC1A2","OK","negbinomial.size",0.00205331600451127,0.00538376524403383,"SLC1A2",227
"AC007598.1","OK","negbinomial.size",0.00205343487093567,0.00538376524403383,"AC007598.1",37
"STUB1","OK","negbinomial.size",0.00206216134712209,0.00540591240469154,"STUB1",7853
"TRUB1","OK","negbinomial.size",0.00206361412073757,0.00540898829182357,"TRUB1",450
"TRIM66","OK","negbinomial.size",0.00206691251446687,0.00541690029008058,"TRIM66",516
"CDR2","OK","negbinomial.size",0.00206994963708075,0.0054241255076448,"CDR2",663
"IGFBP2","OK","negbinomial.size",0.00207283321392181,0.00543094647020635,"IGFBP2",1132
"PSD","OK","negbinomial.size",0.0020757155852128,0.00543776242833456,"PSD",211
"TBL1X","OK","negbinomial.size",0.00208056593036711,0.00544973135509014,"TBL1X",5317
"SMAD5","OK","negbinomial.size",0.00208132867537038,0.00545099163430449,"SMAD5",1971
"IMMT","OK","negbinomial.size",0.0020866587791377,0.00546421184899465,"IMMT",4501
"AC104653.1","OK","negbinomial.size",0.0020882497417591,0.00546763834048843,"AC104653.1",32
"CARD11","OK","negbinomial.size",0.00208964156721899,0.0054698028149639,"CARD11",153
"GEM","OK","negbinomial.size",0.00208955083170469,0.0054698028149639,"GEM",85
"ZNF786","OK","negbinomial.size",0.00209350283061761,0.00547786467898573,"ZNF786",143
"AL139022.1","OK","negbinomial.size",0.0020935704342169,0.00547786467898573,"AL139022.1",41
