"","Gene_Clusters"
"AC069549.1","2"
"B3GNT10","1"
"TLDC2","2"
"RALGAPA2","1"
"PRPSAP1","3"
"LNCAROD","1"
"NBR2","1"
"MAF","2"
"IL17RA","2"
"TXNL4A","3"
"TTLL4","2"
"SCAND1","3"
"CLC","1"
"RGL4","1"
"PKD2","1"
"FOXO1","2"
"HLA-F-AS1","2"
"MYOF","2"
"ID1","3"
"AC048341.1","1"
"DHRS4L2","3"
"TMEM245","1"
"MRPL14","3"
"PLSCR1","3"
"IKBIP","3"
"LINC02723","3"
"TRIM52","1"
"TMUB2","1"
"PHKB","2"
"DDA1","3"
"C1orf54","2"
"RIPK2","3"
"DNAJC3","2"
"PRKCA","2"
"AL590440.2","2"
"GDF11","1"
"MAP7D2","3"
"AC131568.1","2"
"PSMD8","3"
