"","Gene_Clusters"
"NMD3","1"
"TRIM71","2"
"PTPRJ","1"
"AC015987.1","1"
"CLDN10","2"
"NQO2","1"
"TP53I13","2"
"ACIN1","2"
"RBFA","2"
"C2orf92","2"
"RXRA","1"
"PSMD8","3"
"FMC1","3"
"TC2N","2"
"MCU","1"
"NUP37","3"
"IRX3","1"
"ARFGEF2","1"
"VSIR","3"
"VRK3","2"
"AL683813.1","2"
"PHACTR1","1"
"SAR1A","1"
"ASGR2","3"
"SIRT1","2"
"HIST2H2AC","1"
"AL731577.1","1"
"FZD3","2"
"TESPA1","2"
"CORO2A","1"
"PHACTR2","1"
"FNTA","3"
"CHCHD3","3"
"U2SURP","1"
"CMC2","3"
"TBC1D12","1"
"EGR3","2"
"AMFR","1"
"KIF20B","2"
"PGGHG","2"
"ANO6","1"
"NLRC5","1"
"AL157895.1","2"
"CHID1","3"
"AP001189.1","3"
"ARAP1-AS2","1"
"MT1X","3"
"HMGN4","3"
"RBL1","2"
"MT-ATP8","2"
"AC008014.1","2"
"PIK3R5","1"
"SEPTIN1","3"
"RCBTB1","1"
"MSN","3"
"TCF20","1"
"TRAPPC3","3"
"NOL8","2"
"NUTM2B-AS1","2"
"AIP","3"
"SRM","3"
"TOMM20","3"
"AL080317.2","1"
"TSFM","3"
"HLA-F-AS1","1"
"WDR55","2"
"LINC01579","1"
"C6orf226","3"
"TAGLN","1"
"B3GNT10","2"
"VPS37B","2"
"LAP3","3"
"BORCS5","2"
"SC5D","1"
"CA5B","2"
"RANBP2","2"
"AL137077.2","2"
"CSNK1G3","1"
"OIP5-AS1","2"
"NIBAN2","3"
"ZSCAN31","2"
"ASAP1-IT2","2"
"RELA","2"
"CLNK","1"
"TMEM216","3"
"PRDX6","3"
"MRPL14","3"
"ZNF620","2"
"TAF12","3"
"IER5L","2"
"PIDD1","2"
"TTPAL","2"
"COPRS","3"
"ACAP2","1"
"DNAJB9","2"
"HILPDA","2"
"FCGRT","3"
"FOXO1","1"
"RASAL3","2"
"CNTNAP3B","2"
"AKIRIN2","3"
"SPAG7","3"
"ID1","3"
"ARHGEF40","1"
"ZNF559","2"
"AP000763.4","1"
"DLC1","2"
"AKAP1","2"
"TMEM245","2"
"MAN2B1","1"
"FOXC1","2"
"FAM8A1","1"
"CNOT3","2"
"SLC9A3R2","3"
"TRIM8","2"
"TXNL4A","3"
"RPH3A","3"
"SOGA1","1"
"DEK","3"
"PDE6G","3"
"TRGC1","2"
"ZNF337","2"
"LINC02723","3"
"LY75","1"
"HSPA5","1"
"AC069549.1","1"
"C3AR1","3"
"GTPBP4","2"
"PCNA","2"
"TMEM88","1"
"STXBP5-AS1","1"
"PHETA2","2"
"OSGIN1","1"
"HOXA10","1"
"METAP2","3"
"AC091814.1","2"
"PKD2","2"
"ORM2","1"
"ASPSCR1","2"
"RNF41","1"
"RIPK2","3"
"CHERP","2"
"TMUB2","2"
"TNNI2","3"
"RECQL5","2"
"SYNE3","1"
"PSPN","2"
"UCP2","3"
"COX6C","3"
"C1orf50","3"
"AC131568.1","1"
"GINS2","2"
"PUS7","2"
"UCHL3","3"
"GAS6-AS1","2"
"SPN","2"
"GDF11","2"
"AL355581.1","2"
"F5","1"
"AC004847.1","1"
"B3GALT6","3"
"HBD","2"
"VEZF1","1"
"TTYH2","3"
"RHCE","2"
"IKBIP","3"
"DHRS4L2","3"
"LINC02325","2"
"TBRG4","2"
"RCBTB2","3"
"SLC25A42","2"
