"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MMD",2.40145041430395e-52,0.49978724235966,0.333,0.068,5.10404271056162e-48,"4","MMD"
"TSC22D11",6.01704243772504e-50,0.702902999382728,0.376,0.089,1.27886219971408e-45,"4","TSC22D1"
"MTURN",2.52677912983725e-45,0.428559118795389,0.305,0.065,5.37041636255608e-41,"4","MTURN"
"VCL",1.47859073709419e-44,0.542558614625491,0.41,0.111,3.14259675261999e-40,"4","VCL"
"MARCH2",1.81891758400509e-35,0.483581687848686,0.381,0.114,3.86592743304441e-31,"4","MARCH2"
"OAZ11",1.01910508880088e-34,0.758719029570501,0.976,0.892,2.1660059557374e-30,"4","OAZ1"
"OST4",7.40505667744401e-31,0.613545338258708,0.957,0.884,1.57387074622395e-26,"4","OST4"
"H3F3A2",1.27100121681163e-25,0.591840717713087,1,0.975,2.70138598621145e-21,"4","H3F3A"
"TMSB4X2",1.46415940191285e-25,0.491440333459398,1,1,3.11192439282556e-21,"4","TMSB4X"
"RGS101",3.4593321827965e-25,0.762526779628668,0.786,0.535,7.35246462131568e-21,"4","RGS10"
"TLN12",6.75509036678808e-25,0.727810066474962,0.69,0.417,1.43572690655714e-20,"4","TLN1"
"TAGLN21",5.11081252840705e-24,0.623372151134312,0.871,0.636,1.08625209478763e-19,"4","TAGLN2"
"SH3BGRL32",6.14722958819721e-24,0.624461391402908,0.995,0.966,1.30653217667544e-19,"4","SH3BGRL3"
"FTH11",7.11590500504805e-23,0.436268408236184,1,1,1.51241444977291e-18,"4","FTH1"
"BEX3",3.95700804707881e-22,0.388837048432497,0.319,0.112,8.4102249032613e-18,"4","BEX3"
"YWHAH",6.88847448622304e-22,0.474892294817879,0.367,0.144,1.46407636730184e-17,"4","YWHAH"
"GRAP2",1.94270647775235e-21,0.324749686173877,0.3,0.102,4.12902834781484e-17,"4","GRAP2"
"CCL52",7.16332600706617e-21,0.761419876241632,0.914,0.572,1.52249330954184e-16,"4","CCL5"
"NT5C3A",9.6181210534478e-20,0.544266898097446,0.457,0.222,2.0442354486998e-15,"4","NT5C3A"
"SNAP23",9.80925546284483e-20,0.314436255684414,0.357,0.14,2.08485915607304e-15,"4","SNAP23"
"CALM3",2.06802370971674e-19,0.54030039205894,0.657,0.407,4.39537759263197e-15,"4","CALM3"
"MTPN",4.99609358966902e-19,0.509920053343748,0.719,0.46,1.06186973154825e-14,"4","MTPN"
"ACTB2",8.74383759557607e-19,0.546837120649429,1,0.993,1.85841524256374e-14,"4","ACTB"
"ARPC1B",8.2116675483492e-17,0.52850535099764,0.862,0.686,1.74530782072614e-12,"4","ARPC1B"
"FERMT3",6.33812189823428e-16,0.448075452871627,0.433,0.219,1.34710442825071e-11,"4","FERMT3"
"MYL62",1.12992428283867e-15,0.500623012713261,0.981,0.921,2.40154107074531e-11,"4","MYL6"
"TGFB12",2.17531871826926e-15,0.47925482001891,0.719,0.486,4.62342240380948e-11,"4","TGFB1"
"CTSA",4.82561874386805e-15,0.388479918727026,0.319,0.14,1.02563700782172e-10,"4","CTSA"
"TIMP11",2.95656972518363e-14,0.388955835745502,0.524,0.293,6.28389329390528e-10,"4","TIMP1"
"KIF2A",3.87429580432402e-14,0.451294139452191,0.614,0.392,8.23442830251027e-10,"4","KIF2A"
"SERF22",5.42000470951694e-14,0.378180686833113,0.995,0.988,1.15196780096073e-09,"4","SERF2"
"ACTN1",7.09881266485205e-14,0.268072759725305,0.267,0.108,1.50878164378766e-09,"4","ACTN1"
"LAMTOR1",5.00824474325295e-13,0.360610702193364,0.562,0.353,1.06445233773098e-08,"4","LAMTOR1"
"PTPN181",5.16494871389751e-13,0.286205573883346,0.329,0.151,1.09775819965178e-08,"4","PTPN18"
"DYNLL1",1.89856525873358e-12,0.346102328708852,0.6,0.379,4.03521060091235e-08,"4","DYNLL1"
"NDUFAF3",4.40292306591138e-12,0.272577838922486,0.381,0.195,9.35797268428804e-08,"4","NDUFAF3"
"GNAS",4.44261110649029e-12,0.374984083536225,0.957,0.914,9.44232564573447e-08,"4","GNAS"
"GNLY2",2.13200969256927e-11,1.03884488149482,0.638,0.441,4.53137340058672e-07,"4","GNLY"
"RAP1B2",5.72013539503665e-11,0.487192129928997,0.79,0.675,1.21575757686109e-06,"4","RAP1B"
"SNX3",5.88906162653739e-11,0.317249535590682,0.552,0.348,1.25166115810426e-06,"4","SNX3"
"RSU1",6.57706588783518e-11,0.297954110423673,0.281,0.134,1.39788958380049e-06,"4","RSU1"
"ITM2B",6.70917073595395e-11,0.349313817104317,0.976,0.963,1.42596714821965e-06,"4","ITM2B"
"ATP6V0E1",2.60611378907995e-10,0.302988451101467,0.695,0.481,5.53903424731052e-06,"4","ATP6V0E1"
"ARPC51",2.75370145203739e-10,0.385390360133116,0.676,0.506,5.85271706616026e-06,"4","ARPC5"
"PKM",3.39945624848009e-10,0.377901347802365,0.529,0.354,7.22520431051958e-06,"4","PKM"
"MAX",2.15363146033289e-09,0.390626967382426,0.481,0.321,4.57732830579153e-05,"4","MAX"
"IFITM12",2.53650201696555e-09,0.335632563490241,0.81,0.677,5.39108138685858e-05,"4","IFITM1"
"TPM41",3.255422687934e-09,0.383040914168326,0.448,0.281,6.91907538093492e-05,"4","TPM4"
"TRAPPC1",9.47640654735215e-09,0.317189017666748,0.552,0.375,0.000201411544757423,"4","TRAPPC1"
"RBX1",1.82572391368216e-08,0.26988880901058,0.548,0.377,0.000388039360614006,"4","RBX1"
"NORAD",1.95778528102113e-08,0.284136022894944,0.467,0.3,0.000416107683628232,"4","NORAD"
"MYL12A2",2.53360302718265e-08,0.361059605031621,0.957,0.943,0.000538491987397401,"4","MYL12A"
"IFI27L2",2.53799295588472e-08,0.254515753903154,0.448,0.276,0.000539425022843738,"4","IFI27L2"
"C12orf752",3.03782117608244e-08,0.381416550035257,0.533,0.37,0.000645658512764561,"4","C12orf75"
"ITGB11",3.11646080130666e-08,0.361897547695372,0.619,0.43,0.000662372578709717,"4","ITGB1"
"FLNA2",6.72933890713507e-08,0.337373484357704,0.614,0.439,0.00143025369132249,"4","FLNA"
"CFL12",9.86899844427634e-08,0.269049114002946,0.971,0.959,0.00209755692934649,"4","CFL1"
"PFN12",1.09738509258286e-07,0.278747991748769,0.995,0.966,0.00233238227577562,"4","PFN1"
"HLA-E2",1.35041139507771e-07,0.26017186810459,0.995,0.984,0.00287016437909817,"4","HLA-E"
"IL321",1.71775693968753e-07,0.306608796847375,0.933,0.904,0.00365092059961187,"4","IL32"
"NAP1L11",3.01798223944673e-07,0.324103140881899,0.833,0.78,0.00641441945172008,"4","NAP1L1"
"IFITM22",4.01852753864634e-07,0.387292333417821,0.9,0.841,0.00854097843063894,"4","IFITM2"
"CDKN2D",4.81310365604851e-07,0.335919874985775,0.571,0.434,0.0102297705105655,"4","CDKN2D"
"FKBP1A",7.04288342714959e-07,0.275525281373729,0.457,0.314,0.0149689444360637,"4","FKBP1A"
"TMEM50A1",7.21002406678458e-07,0.304802633140636,0.562,0.426,0.0153241851515439,"4","TMEM50A"
"RIPOR2",1.02970756943088e-06,0.300527279595193,0.7,0.568,0.0218854046806839,"4","RIPOR2"
"EMP32",1.56168556153367e-06,0.280747031828835,0.838,0.79,0.0331920649248367,"4","EMP3"
"UQCRH1",1.64189527079241e-06,0.258124720317284,0.805,0.736,0.0348968420854219,"4","UQCRH"
"CCDC85B",2.13219042336778e-06,0.269387877575824,0.643,0.486,0.0453175752582588,"4","CCDC85B"
"SH3BGRL1",2.25114537654374e-06,0.314981549157004,0.605,0.485,0.0478458438330606,"4","SH3BGRL"
"MSN2",3.13725976210296e-06,0.296850471368645,0.614,0.474,0.0666793189837364,"4","MSN"
"UBB2",3.91094496851931e-06,0.273835534067221,0.952,0.937,0.0831232243609094,"4","UBB"
"HLA-B2",4.36418447926318e-06,0.260436489791926,1,0.996,0.0927563769222597,"4","HLA-B"
"ID22",5.35171109845807e-06,0.327506724949696,0.781,0.671,0.113745267686628,"4","ID2"
"ODC1",6.10106543743484e-06,0.301312275526955,0.467,0.338,0.12967204480724,"4","ODC1"
