"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Natural killer cells","FCGR3A+ Macrophage cells","EFNA5","EPHA2",5.06942678764177e-11,0,"EFNA5_EPHA2","EFNA5 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","Natural killer cells","EFNA5","EPHA2",7.98128418470235e-10,0,"EFNA5_EPHA2","EFNA5 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCGR3A+ Macrophage cells","Natural killer cells","EFNA5","EPHA2",5.37070521713372e-11,0,"EFNA5_EPHA2","EFNA5 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","Natural killer cells","EFNA5","EPHA2",7.82232995455386e-10,0,"EFNA5_EPHA2","EFNA5 - EPHA2","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCAR+ Macrophage cells","EFNA5","EPHA4",9.28672429969836e-11,0,"EFNA5_EPHA4","EFNA5 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","EFNA5","EPHA4",7.40768034570199e-12,0,"EFNA5_EPHA4","EFNA5 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","EFNA5","EPHA4",4.98472007291198e-13,0,"EFNA5_EPHA4","EFNA5 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCGR3A+ Macrophage cells","EFNA5","EPHA4",7.2601499478165e-12,0,"EFNA5_EPHA4","EFNA5 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","Natural killer cells","EFNA5","EPHA4",6.82647937500784e-11,0,"EFNA5_EPHA4","EFNA5 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","Natural killer cells","EFNA5","EPHA4",6.69052410011408e-11,0,"EFNA5_EPHA4","EFNA5 - EPHA4","EPHA","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","FCAR+ Macrophage cells","EFNA5","EPHB2",1.42313070261548e-08,0,"EFNA5_EPHB2","EFNA5 - EPHB2","EPHA","Cell-Cell Contact","PMID:15107857; PMID: 15114347"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","EFNA5","EPHB2",9.5764231723317e-10,0,"EFNA5_EPHB2","EFNA5 - EPHB2","EPHA","Cell-Cell Contact","PMID:15107857; PMID: 15114347"
"Natural killer cells","FCAR+ Macrophage cells","EFNA5","EPHB2",1.39478778757687e-08,0,"EFNA5_EPHB2","EFNA5 - EPHB2","EPHA","Cell-Cell Contact","PMID:15107857; PMID: 15114347"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","EFNA5","EPHB2",7.85587325857868e-10,0,"EFNA5_EPHB2","EFNA5 - EPHB2","EPHA","Cell-Cell Contact","PMID:15107857; PMID: 15114347"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","EFNA5","EPHB2",5.28631464332387e-11,0,"EFNA5_EPHB2","EFNA5 - EPHB2","EPHA","Cell-Cell Contact","PMID:15107857; PMID: 15114347"
"Natural killer cells","FCGR3A+ Macrophage cells","EFNA5","EPHB2",7.69941657357254e-10,0,"EFNA5_EPHB2","EFNA5 - EPHB2","EPHA","Cell-Cell Contact","PMID:15107857; PMID: 15114347"
"FCGR3A+ Macrophage cells","FCAR+ Macrophage cells","EFNB2","EPHA4",2.27643997017231e-11,0,"EFNB2_EPHA4","EFNB2 - EPHA4","EPHB","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","FCGR3A+ Macrophage cells","EFNB2","EPHA4",1.86510492603382e-11,0,"EFNB2_EPHA4","EFNB2 - EPHA4","EPHB","Cell-Cell Contact","PMID: 15114347"
"FCGR3A+ Macrophage cells","FCGR3A+ Macrophage cells","EFNB2","EPHA4",1.77966901948943e-12,0,"EFNB2_EPHA4","EFNB2 - EPHA4","EPHB","Cell-Cell Contact","PMID: 15114347"
"Natural killer cells","FCGR3A+ Macrophage cells","EFNB2","EPHA4",1.08055409158539e-11,0,"EFNB2_EPHA4","EFNB2 - EPHA4","EPHB","Cell-Cell Contact","PMID: 15114347"
"FCAR+ Macrophage cells","Natural killer cells","EFNB2","EPHA4",1.71877021092986e-10,0,"EFNB2_EPHA4","EFNB2 - EPHA4","EPHB","Cell-Cell Contact","PMID: 15114347"
"FCGR3A+ Macrophage cells","Natural killer cells","EFNB2","EPHA4",1.64003754073327e-11,0,"EFNB2_EPHA4","EFNB2 - EPHA4","EPHB","Cell-Cell Contact","PMID: 15114347"
